iter	Logloss
0	0.6588920587
1	0.6293402149
2	0.6056025599
3	0.5855142502
4	0.5680826889
5	0.5578831526
6	0.5400092588
7	0.5293287927
8	0.5121077524
9	0.4970335076
10	0.4867587668
11	0.4754969342
12	0.4674343443
13	0.4571901725
14	0.4478861277
15	0.4433335236
16	0.4384455141
17	0.4329976624
18	0.4304380376
19	0.42579698
20	0.4240657292
21	0.4196759237
22	0.4166101192
23	0.4141434206
24	0.4109539677
25	0.4076113876
26	0.4057311636
27	0.403593154
28	0.4007548897
29	0.397842523
30	0.3971941354
31	0.3939596327
32	0.3922928027
33	0.391335392
34	0.3885218738
35	0.3861058967
36	0.3845104996
37	0.3813252998
38	0.3792335272
39	0.3782359533
40	0.3764487315
41	0.3754004745
42	0.3747235687
43	0.3727135082
44	0.3718194402
45	0.3703506106
46	0.3696484921
47	0.3682134011
48	0.366033809
49	0.3644594563
50	0.362597592
51	0.3615871036
52	0.3608059997
53	0.3597534633
54	0.3591990131
55	0.3579875235
56	0.3573979278
57	0.3566272509
58	0.3565589737
59	0.3554521523
60	0.3545675451
61	0.3541287491
62	0.3532538143
63	0.3518646265
64	0.3511871289
65	0.3505781132
66	0.3502685122
67	0.3498434535
68	0.3493584153
69	0.3483411569
70	0.3481313074
71	0.3469807658
72	0.3457275408
73	0.3441196233
74	0.3433580146
75	0.3429379789
76	0.3420023396
77	0.3413436207
78	0.3405691985
79	0.3392092531
80	0.3377993537
81	0.3368797508
82	0.3364913957
