iter	Passed	Remaining
0	57	11481
1	58	5759
2	58	3846
3	58	2883
4	59	2312
5	59	1923
6	59	1651
7	60	1447
8	60	1290
9	61	1162
10	61	1058
11	61	971
12	62	897
13	62	835
14	63	780
15	63	729
16	63	688
17	64	651
18	64	616
19	65	585
20	65	556
21	65	531
22	66	509
23	66	488
24	67	469
25	67	451
26	68	435
27	68	419
28	68	404
29	69	391
30	69	377
31	69	366
32	70	354
33	70	343
34	70	333
35	71	324
36	71	315
37	72	306
38	72	298
39	72	291
40	73	284
41	73	277
42	74	270
43	74	264
44	75	258
45	75	252
46	75	247
47	77	244
48	77	238
49	78	234
50	78	229
51	78	224
52	79	219
53	79	215
54	80	211
55	80	207
56	80	203
57	81	199
58	81	194
59	81	191
60	82	187
61	82	184
62	83	181
63	83	178
64	84	174
65	84	171
66	85	168
67	85	165
68	86	163
69	86	160
70	86	157
71	87	154
72	87	152
73	87	149
74	88	147
75	88	144
76	89	142
77	89	140
78	90	137
79	90	135
80	90	133
81	91	131
82	91	129
